Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D2,16/05/2020,12:00,Bochum,Heidenheim,3,0,H,2,0,H,10,11,3,3,15,12,2,6,4,0,0,0,2.6,3.25,2.7,2.65,3.4,2.65,2.55,3.25,2.75,2.63,3.36,2.76,2.6,3.25,2.62,2.55,3.4,2.63,2.8,3.4,2.76,2.59,3.29,2.67,1.8,2,1.85,2.03,1.92,2.17,1.83,1.97,0,1.9,1.95,1.9,2,1.99,2,1.91,1.95,2.75,3.25,2.55,2.75,3.25,2.65,2.55,3.25,2.75,2.81,3.41,2.68,2.75,3.2,2.55,2.75,3.3,2.5,2.9,3.41,2.71,2.73,3.29,2.55,1.85,1.95,1.88,2.03,1.93,2.08,1.84,1.95,0,2,1.85,2.01,1.92,2.06,1.95,2,1.86
D2,16/05/2020,12:00,Erzgebirge Aue,Sandhausen,3,1,H,1,0,H,13,15,7,6,11,10,4,2,1,3,0,1,2.5,3.3,2.75,2.55,3.3,2.8,2.55,3.25,2.8,2.67,3.23,2.81,2.55,3.2,2.75,2.55,3.2,2.8,2.68,3.32,2.95,2.57,3.19,2.76,2.05,1.75,2.05,1.83,2.15,1.86,2.01,1.79,0,1.85,2,1.9,2,1.99,2.06,1.87,1.98,2.62,3.3,2.6,2.6,3.25,2.8,2.55,3.25,2.8,2.87,3.23,2.75,2.62,3.1,2.75,2.7,3.2,2.63,2.87,3.4,2.95,2.66,3.15,2.72,2.15,1.66,2.26,1.72,2.28,1.79,2.15,1.69,0,1.98,1.88,2,1.93,2.01,1.99,1.94,1.91
D2,16/05/2020,12:00,Karlsruhe,Darmstadt,2,0,H,0,0,D,16,11,5,0,20,13,7,2,3,1,0,0,2.62,3.3,2.6,2.7,3.3,2.65,2.7,3.25,2.6,2.76,3.24,2.71,2.7,3.1,2.62,2.63,3.25,2.63,2.8,3.35,2.75,2.67,3.2,2.63,2,1.8,2.05,1.83,2.07,1.89,1.98,1.81,0,1.93,1.93,1.97,1.93,2,1.98,1.95,1.9,2.75,3.1,2.62,2.7,3.25,2.7,2.7,3.25,2.6,2.74,3.19,2.92,2.7,3.1,2.62,2.75,3.13,2.63,2.85,3.29,2.92,2.72,3.13,2.65,2.07,1.72,2.16,1.78,2.25,1.84,2.07,1.74,0,1.93,1.93,1.9,2.03,2,2.03,1.94,1.9
D2,16/05/2020,12:00,Regensburg,Holstein Kiel,2,2,D,0,1,A,7,17,4,6,16,14,5,3,5,1,0,0,2.7,3.4,2.5,2.85,3.3,2.5,2.7,3.45,2.45,2.92,3.33,2.52,2.8,3.25,2.45,2.8,3.4,2.4,3,3.5,2.52,2.81,3.29,2.46,1.72,2.07,1.76,2.14,1.81,2.16,1.74,2.08,0,2.05,1.8,2.1,1.81,2.11,1.85,2.06,1.8,2.87,3.4,2.37,2.8,3.4,2.5,2.7,3.45,2.45,2.97,3.62,2.45,2.88,3.4,2.35,2.7,3.6,2.4,3,3.62,2.52,2.82,3.42,2.41,1.65,2.2,1.69,2.3,1.71,2.3,1.66,2.2,0.25,1.72,2.07,1.83,2.12,1.83,2.15,1.76,2.09
D2,17/05/2020,12:30,Bielefeld,Osnabruck,1,1,D,1,0,H,6,10,3,4,9,6,0,6,3,0,0,0,1.7,3.6,5,1.72,3.9,4.75,1.55,4.05,5.8,1.69,3.92,5.11,1.67,3.8,4.8,1.7,3.8,4.75,1.74,4.05,5.3,1.69,3.79,4.78,1.72,2.07,1.78,2.12,1.78,2.17,1.73,2.09,-0.75,1.9,1.95,1.9,2,1.94,2.01,1.88,1.94,1.65,3.75,5.25,1.62,4,5.5,1.55,4.05,5.8,1.69,3.81,5.29,1.6,3.8,5.5,1.67,4,4.6,1.7,4.05,5.73,1.65,3.84,5.1,1.72,2.07,1.79,2.09,1.82,2.16,1.75,2.06,-0.75,1.88,1.98,1.91,1.99,1.96,2.04,1.86,1.97
D2,17/05/2020,12:30,Greuther Furth,Hamburg,2,2,D,1,1,D,14,11,5,8,14,14,6,4,2,3,0,0,4.33,3.6,1.83,4.25,3.7,1.85,3.8,3.6,1.9,4.28,3.64,1.88,4.2,3.7,1.8,4,3.7,1.83,4.33,3.84,1.9,4.1,3.6,1.84,1.72,2.07,1.79,2.1,1.79,2.25,1.73,2.09,0.5,2.02,1.83,2.01,1.88,2.08,1.89,2,1.83,4.2,3.6,1.85,4,3.6,1.91,3.8,3.6,1.9,3.99,3.64,1.95,3.9,3.5,1.88,3.7,3.75,1.9,4.28,3.75,2,3.88,3.56,1.92,1.7,2.1,1.71,2.21,1.8,2.24,1.7,2.13,0.5,1.93,1.93,1.95,1.95,2.01,1.99,1.91,1.92
D2,17/05/2020,12:30,St Pauli,Nurnberg,1,0,H,0,0,D,13,14,7,5,14,8,7,4,1,0,0,1,2.4,3.25,2.9,2.45,3.25,2.95,2.35,3.2,3.05,2.57,3.2,2.95,2.45,3.2,2.88,2.5,3.25,2.8,2.6,3.3,2.97,2.48,3.19,2.87,1.95,1.85,1.97,1.92,2.02,1.93,1.93,1.86,0,1.8,2.05,1.81,2.09,1.87,2.1,1.8,2.05,2.25,3.3,3.2,2.3,3.3,3.2,2.35,3.2,3.05,2.33,3.29,3.26,2.3,3.2,3.1,2.3,3.3,3.1,2.45,3.4,3.27,2.3,3.24,3.13,2,1.8,1.98,1.91,2.05,1.91,1.94,1.85,-0.25,1.98,1.88,2.01,1.89,2.05,1.94,1.97,1.86
D2,17/05/2020,12:30,Wehen,Stuttgart,2,1,H,0,0,D,12,21,6,6,16,14,2,6,2,1,0,0,4.75,4,1.66,4.75,4,1.7,4.85,3.95,1.67,5.04,4.01,1.68,4.8,3.8,1.67,4.6,4,1.67,5.2,4.05,1.72,4.74,3.87,1.68,1.72,2.07,1.77,2.13,1.78,2.25,1.72,2.11,0.75,1.98,1.88,2.02,1.88,2.02,1.93,1.96,1.86,5.5,4,1.57,5.25,4.1,1.62,4.85,3.95,1.67,5.56,4.11,1.62,5.5,4,1.57,5,4.2,1.6,5.67,4.33,1.68,5.22,4.05,1.61,1.57,2.35,1.59,2.44,1.68,2.48,1.6,2.32,1,1.83,2.02,1.87,2.03,1.92,2.12,1.82,2.02
D2,22/05/2020,17:30,Heidenheim,Wehen,1,0,H,0,0,D,17,7,8,1,11,13,7,6,1,2,0,0,1.75,3.8,4.33,1.8,3.7,4.25,1.9,3.55,3.9,1.83,3.72,4.42,1.8,3.6,4.2,1.83,3.6,4.1,1.91,3.83,4.42,1.83,3.62,4.15,1.7,2.1,1.72,2.2,1.8,2.2,1.72,2.1,-0.5,1.83,2.02,1.83,2.06,1.89,2.07,1.83,2,1.75,3.8,4.33,1.8,3.7,4.25,,,,1.79,3.84,4.51,1.8,3.6,4.2,1.83,3.7,4,1.85,3.84,4.51,1.8,3.69,4.21,1.7,2.1,1.7,2.23,1.75,2.25,1.69,2.16,-0.75,2.02,1.83,2.04,1.86,2.1,1.88,2.04,1.8
D2,22/05/2020,17:30,Nurnberg,Erzgebirge Aue,1,1,D,0,0,D,13,7,3,2,12,11,10,3,5,3,0,0,1.9,3.6,3.75,1.95,3.4,3.9,2,3.5,3.6,2.01,3.41,4.05,1.95,3.4,3.8,2,3.5,3.6,2.05,3.64,4.07,1.96,3.4,3.83,2,1.8,1.99,1.89,2.08,1.96,1.94,1.86,-0.5,2,1.85,2.01,1.89,2.04,1.9,1.97,1.84,2,3.5,3.6,1.95,3.5,3.8,,,,2.07,3.44,3.76,1.95,3.4,3.75,2.05,3.5,3.4,2.15,3.57,4.07,2.02,3.36,3.67,2,1.8,2,1.88,2.06,1.92,1.98,1.82,-0.5,2.05,1.8,2.07,1.83,2.12,1.89,2.02,1.8
