Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,20/06/2020,12:30,Fulham,Brentford,0,2,A,0,0,D,J Linington,9,13,4,5,11,12,2,5,1,1,0,0,2.8,3.4,2.5,2.7,3.3,2.5,2.9,3.25,2.45,3.04,3.34,2.52,3,3.3,2.45,2.9,3.4,2.45,3.08,3.4,2.6,2.88,3.27,2.48,2,1.8,2.06,1.85,2.06,1.87,1.99,1.82,0,2.11,1.79,2.16,1.79,2.16,1.82,2.08,1.79,2.87,3.3,2.45,2.7,3.3,2.5,2.7,3.05,2.5,2.99,3.35,2.55,2.88,3.2,2.55,2.8,3.3,2.6,2.99,3.39,2.67,2.81,3.25,2.54,2.05,1.8,2.1,1.81,2.13,1.87,2.01,1.79,0,2.06,1.84,2.13,1.81,2.13,1.88,2.02,1.83
E1,20/06/2020,12:30,Middlesbrough,Swansea,0,3,A,0,3,A,T Harrington,17,13,1,3,15,13,10,0,2,1,0,0,2.55,3.3,2.8,2.4,3.25,2.9,2.5,3.25,2.85,2.58,3.3,3,2.55,3.2,2.9,2.55,3.3,2.88,2.62,3.33,3.04,2.51,3.23,2.87,2,1.8,2.07,1.83,2.09,1.89,2.01,1.81,0,1.82,2.08,1.82,2.12,1.86,2.13,1.8,2.07,2.55,3.3,2.8,2.55,3.1,2.8,2.5,2.95,2.7,2.76,3.15,2.9,2.62,3.2,2.8,2.63,3.3,2.75,2.81,3.37,2.95,2.62,3.12,2.82,2.2,1.66,2.25,1.72,2.35,1.82,2.14,1.71,0,1.92,1.98,1.91,2,1.94,2.09,1.87,1.99
E1,20/06/2020,13:00,Millwall,Derby,2,3,A,1,1,D,S Martin,12,12,4,5,10,8,6,3,0,2,0,0,2.4,3.1,3.2,2.25,3.1,3.3,2.35,3.1,3.15,2.43,3.2,3.31,2.38,3.1,3.25,2.4,3.13,3.25,2.49,3.23,3.35,2.37,3.11,3.2,2.37,1.57,2.38,1.65,2.45,1.65,2.35,1.59,-0.25,2.05,1.85,2.06,1.86,2.07,1.88,2.03,1.83,2.4,3.1,3.2,2.35,3.1,3.1,2.45,3.05,3.1,2.57,3.1,3.2,2.5,3.1,3.1,2.5,3.1,3.1,2.63,3.22,3.3,2.46,3.05,3.12,2.3,1.61,2.42,1.63,2.43,1.67,2.35,1.59,-0.25,2.14,1.77,2.17,1.78,2.17,1.82,2.1,1.77
E1,20/06/2020,15:00,Blackburn,Bristol City,3,1,H,1,1,D,O Langford,9,7,4,1,14,21,2,1,2,2,0,0,2.2,3.4,3.3,2.2,3.4,3.1,2.15,3.35,3.35,2.18,3.46,3.61,2.2,3.4,3.3,2.2,3.4,3.4,2.27,3.46,3.61,2.17,3.37,3.35,1.9,1.9,1.98,1.92,2.06,1.92,1.97,1.84,-0.25,1.88,2.02,1.87,2.05,1.92,2.05,1.87,1.99,2.2,3.4,3.3,2.2,3.3,3.2,2.25,3.3,3.2,2.33,3.27,3.45,2.25,3.3,3.3,2.25,3.4,3.25,2.33,3.47,3.46,2.25,3.28,3.28,2,1.8,2.12,1.8,2.12,1.9,2.01,1.81,-0.25,1.98,1.92,1.99,1.93,2,1.95,1.95,1.91
E1,20/06/2020,15:00,Huddersfield,Wigan,0,2,A,0,1,A,J Gillett,9,9,1,5,16,17,3,2,2,1,0,0,2.37,3.25,3.1,2.3,3.3,3,2.4,3.15,3.05,2.47,3.31,3.15,2.4,3.2,3.1,2.38,3.3,3.13,2.53,3.31,3.18,2.38,3.21,3.06,2.2,1.66,2.28,1.7,2.28,1.72,2.2,1.67,-0.25,2.06,1.84,2.11,1.83,2.11,1.86,2.05,1.82,2.37,3.25,3.1,2.35,3.2,3,2.35,3.15,3.1,2.59,3.17,3.1,2.5,3.1,3.1,2.45,3.2,3.1,2.65,3.31,3.25,2.46,3.12,3.05,2.37,1.57,2.49,1.6,2.5,1.65,2.35,1.59,0,1.72,2.07,1.79,2.15,1.82,2.19,1.75,2.13
E1,20/06/2020,15:00,Hull,Charlton,0,1,A,0,1,A,J Brooks,12,10,3,2,13,20,9,3,1,0,0,0,2.2,3.4,3.3,2.1,3.4,3.3,2.25,3.4,3.15,2.29,3.51,3.3,2.25,3.4,3.2,2.25,3.5,3.2,2.35,3.51,3.35,2.24,3.39,3.19,1.9,1.9,1.92,1.98,1.98,1.99,1.88,1.93,-0.25,1.97,1.93,1.97,1.94,2,1.95,1.95,1.91,2.35,3.25,3.1,2.25,3.2,3.2,2.4,3.2,2.95,2.48,3.31,3.12,2.4,3.25,3.1,2.5,3.3,2.9,2.5,3.35,3.2,2.41,3.23,3.03,2,1.8,2.04,1.86,2.13,1.88,1.98,1.82,-0.25,2.1,1.8,2.12,1.82,2.19,1.83,2.09,1.78
E1,20/06/2020,15:00,Luton,Preston,1,1,D,0,0,D,J Brooks,5,12,1,4,9,7,5,7,1,0,0,0,3.3,3.4,2.2,3.3,3.3,2.15,3.3,3.35,2.15,3.56,3.37,2.23,3.4,3.3,2.2,3.4,3.4,2.2,3.56,3.46,2.3,3.32,3.32,2.2,1.9,1.9,2.01,1.88,2.01,1.95,1.93,1.88,0.25,1.98,1.92,2,1.91,2.02,1.95,1.96,1.89,3.3,3.4,2.2,3.3,3.3,2.15,3.25,3.1,2.15,3.37,3.31,2.35,3.5,3.2,2.2,3.3,3.4,2.25,3.55,3.47,2.4,3.31,3.24,2.25,2.3,1.61,2.27,1.71,2.35,1.86,2.16,1.7,0.25,1.92,1.98,1.92,2,1.96,2,1.91,1.95
E1,20/06/2020,15:00,QPR,Barnsley,0,1,A,0,1,A,A Davies,8,10,2,2,11,18,2,6,0,1,0,0,2.15,3.5,3.3,2.05,3.6,3.25,2.2,3.55,3.1,2.27,3.55,3.3,2.2,3.5,3.2,2.2,3.7,3.13,2.27,3.7,3.31,2.19,3.52,3.17,1.66,2.2,1.71,2.26,1.72,2.35,1.67,2.21,-0.25,1.95,1.95,1.96,1.95,1.96,2.01,1.92,1.93,2.15,3.6,3.25,2.05,3.6,3.25,2.1,3.55,3.3,2.09,3.69,3.62,2.1,3.6,3.4,2.1,3.7,3.4,2.19,3.7,3.63,2.1,3.56,3.38,1.66,2.2,1.71,2.26,1.71,2.29,1.66,2.22,-0.25,1.75,2.05,1.82,2.12,1.86,2.15,1.82,2.04
E1,20/06/2020,15:00,Reading,Stoke,1,1,D,1,0,H,M Salisbury,7,10,3,3,11,13,4,5,0,1,0,0,2.9,3.25,2.5,2.85,3.2,2.45,3,3.15,2.4,3.22,3.25,2.46,3.1,3.2,2.4,3,3.2,2.5,3.22,3.26,2.5,3.03,3.18,2.42,2.2,1.66,2.27,1.7,2.27,1.77,2.17,1.69,0.25,1.81,2.09,1.84,2.09,1.84,2.2,1.78,2.08,2.9,3,2.62,3,3,2.45,2.85,3.05,2.6,3.03,3.08,2.7,2.9,3.1,2.62,2.9,3.1,2.63,3.03,3.2,2.74,2.91,3.04,2.61,2.3,1.61,2.36,1.66,2.37,1.7,2.26,1.64,0,2.06,1.84,2.08,1.85,2.12,1.87,2.04,1.82
E1,20/06/2020,15:00,Sheffield Weds,Nott'm Forest,1,1,D,0,0,D,R Jones,13,10,3,3,17,15,7,4,3,3,0,0,2.6,3.25,2.8,2.5,3.25,2.75,2.6,3.2,2.75,2.73,3.27,2.84,2.62,3.2,2.8,2.55,3.3,2.88,2.8,3.31,2.88,2.6,3.21,2.78,2.1,1.72,2.16,1.78,2.16,1.82,2.07,1.76,0,1.86,2.04,1.92,2,1.92,2.07,1.86,2,2.6,3.25,2.8,2.5,3.25,2.75,2.65,3.15,2.7,2.79,3.23,2.81,2.7,3.2,2.7,2.75,3.3,2.63,2.86,3.31,2.85,2.68,3.17,2.72,2.1,1.72,2.22,1.74,2.24,1.78,2.12,1.72,0,1.97,1.93,1.95,1.96,2,1.98,1.93,1.92
