Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
I1,20/06/2020,18:30,Torino,Parma,1,1,D,1,1,D,14,6,9,5,16,17,5,2,1,2,0,0,2.2,3.25,3.5,2.2,3.25,3.25,2.2,3.25,3.45,2.25,3.32,3.57,2.15,3.3,3.4,2.2,3.2,3.6,2.3,3.44,3.62,2.19,3.27,3.47,2,1.8,2.12,1.8,2.15,1.86,2.05,1.78,-0.25,1.92,2.01,1.93,1.99,1.94,2.03,1.89,1.98,2.4,3.2,3.1,2.45,3.1,3.1,2.45,3.15,3.1,2.52,3.18,3.19,2.4,3.1,3.1,2.45,3.1,3.2,2.58,3.4,3.4,2.42,3.14,3.15,2.2,1.66,2.24,1.72,2.28,1.85,2.14,1.7,-0.25,2.16,1.78,2.14,1.81,2.19,1.87,2.09,1.8
I1,20/06/2020,20:45,Verona,Cagliari,2,1,H,2,1,H,8,13,6,4,4,19,1,7,1,6,1,1,1.95,3.4,4,2.15,3.25,3.4,2,3.4,3.85,2.04,3.5,3.99,2,3.3,3.9,2.05,3.25,4,2.15,3.5,4.1,2.03,3.37,3.83,2,1.8,2.14,1.78,2.14,1.87,2.06,1.77,-0.5,2.06,1.87,2.04,1.88,2.08,1.88,2.03,1.84,2,3.4,3.75,1.95,3.4,4.1,1.93,3.35,4.3,1.96,3.41,4.49,1.95,3.3,4.2,1.95,3.25,4.5,2.06,3.5,4.55,1.95,3.34,4.24,2.2,1.66,2.28,1.7,2.34,1.78,2.19,1.68,-0.5,1.95,1.98,1.96,1.95,1.99,2,1.94,1.93
I1,21/06/2020,18:30,Atalanta,Sassuolo,4,1,H,3,0,H,12,10,5,6,24,6,4,3,4,3,0,0,1.33,5.5,8,1.33,5.5,7.25,1.36,5.4,7.8,1.36,5.67,8.42,1.32,5.25,9,1.3,5.25,9,1.4,5.85,9.5,1.35,5.4,8.17,1.4,3,1.43,3.07,1.43,3.1,1.4,2.9,-1.5,1.98,1.95,1.95,1.96,2,1.99,1.94,1.92,1.45,4.75,6.5,1.4,5,6.5,1.45,5,6.1,1.49,4.81,6.61,1.44,4.6,6.5,1.45,4.6,7,1.54,5,7.4,1.48,4.69,6.23,1.53,2.5,1.56,2.59,1.58,2.85,1.51,2.55,-1,1.77,2.02,1.79,2.16,1.85,2.23,1.78,2.1
I1,21/06/2020,20:45,Inter,Sampdoria,2,1,H,2,0,H,11,7,5,3,17,21,5,1,3,3,0,0,1.36,4.75,9,1.35,4.6,8.75,1.37,4.95,8.4,1.35,5.34,9.85,1.33,5,9,1.33,4.75,9,1.4,5.45,10,1.36,5.03,8.78,1.66,2.2,1.69,2.29,1.74,2.34,1.66,2.22,-1.25,1.86,2.07,1.83,2.1,1.9,2.1,1.83,2.05,1.36,4.75,9,1.36,4.75,9.25,1.4,4.6,8.2,1.34,5.48,9.94,1.32,5,9.5,1.33,5,10.5,1.4,5.65,10.5,1.35,4.98,9.15,1.72,2.1,1.7,2.27,1.78,2.28,1.69,2.18,-1.5,2.02,1.77,2.05,1.87,2.12,1.91,2.06,1.82
I1,22/06/2020,18:30,Fiorentina,Brescia,1,1,D,1,1,D,15,5,8,3,21,21,7,2,5,4,1,0,1.5,4.33,6.5,1.5,4.2,6,1.53,4.25,6.2,1.52,4.45,6.59,1.5,4.2,6.5,1.5,3.9,7,1.57,4.5,7,1.52,4.3,6.31,1.9,1.9,1.83,2.07,1.91,2.1,1.82,1.98,-1,1.93,2,1.92,2,1.97,2.03,1.9,1.97,1.33,5,9.5,1.34,5.25,9,1.4,4.85,7.6,1.34,5.25,10.96,1.33,4.8,9.5,1.33,5.25,10,1.4,5.5,11.16,1.34,4.99,9.71,1.72,2.1,1.79,2.14,1.9,2.17,1.77,2.05,-1.5,2.05,1.88,2.02,1.89,2.1,1.9,2.04,1.84
I1,22/06/2020,18:30,Lecce,Milan,1,4,A,0,1,A,6,12,1,11,8,13,5,4,1,1,0,0,5.25,4.2,1.6,4.75,4,1.65,5.3,4.2,1.6,5.5,4.33,1.61,5.5,4.2,1.57,6,4,1.53,6,4.33,1.68,5.33,4.14,1.61,1.72,2.1,1.68,2.3,1.75,2.32,1.68,2.18,1,1.91,2.02,1.91,2.01,1.93,2.16,1.85,2.02,6,4.5,1.5,6,4.6,1.5,5.2,4.2,1.6,6.84,4.73,1.49,6.5,4.33,1.47,7,4.6,1.45,7.3,4.82,1.6,6.41,4.48,1.49,1.61,2.3,1.65,2.38,1.72,2.45,1.64,2.25,1,2.05,1.75,2.18,1.78,2.21,1.95,2.09,1.8
I1,22/06/2020,20:45,Bologna,Juventus,0,2,A,0,2,A,6,12,1,5,16,16,8,2,1,4,0,1,6,4.33,1.53,5.75,4.33,1.5,5.6,4.15,1.57,5.92,4.14,1.6,5.8,4.2,1.55,6,4,1.53,6.1,4.45,1.63,5.72,4.16,1.57,1.72,2.1,1.75,2.17,1.79,2.28,1.7,2.15,1,1.91,2.02,1.91,2.01,1.93,2.04,1.87,1.98,6,4,1.57,6,4.1,1.57,5.5,4,1.6,6.29,4.06,1.61,6.5,3.9,1.53,6.5,3.9,1.57,6.95,4.3,1.63,6.05,3.97,1.58,1.97,1.93,1.97,1.93,2,2.05,1.9,1.91,1,1.82,2.11,1.83,2.11,1.93,2.14,1.83,2.05
I1,23/06/2020,18:30,Spal,Cagliari,0,1,A,0,0,D,6,9,2,4,21,12,1,9,3,3,0,0,2.7,3.2,2.7,2.75,3.2,2.7,2.7,3.2,2.7,2.79,3.31,2.75,2.62,3.2,2.7,2.75,3.13,2.75,2.84,3.4,2.82,2.72,3.24,2.7,2,1.8,2.12,1.8,2.16,1.85,2.07,1.77,0,1.96,1.94,1.97,1.94,2,1.99,1.95,1.93,2.45,3.25,2.9,2.55,3.3,2.85,2.55,3.15,2.95,2.62,3.15,3.07,2.5,3.2,2.9,2.55,3.1,3,2.71,3.36,3.07,2.54,3.17,2.93,2.1,1.72,2.17,1.76,2.22,1.82,2.11,1.73,0,1.79,2.11,1.81,2.13,1.91,2.16,1.8,2.09
I1,23/06/2020,18:30,Verona,Napoli,0,2,A,0,1,A,10,10,6,8,16,7,8,4,1,1,0,0,4.1,3.5,1.9,4,3.6,1.91,4.15,3.45,1.9,4.39,3.52,1.94,4.2,3.4,1.88,4.4,3.4,1.91,4.5,3.62,2,4.2,3.45,1.93,2,1.8,2.09,1.82,2.13,1.88,2.03,1.8,0.5,1.96,1.94,1.97,1.94,1.98,2,1.93,1.94,4.33,3.5,1.85,4.5,3.4,1.87,4.5,3.45,1.85,4.59,3.46,1.93,4.5,3.4,1.83,4.8,3.3,1.87,4.8,3.59,1.97,4.44,3.4,1.88,2.2,1.66,2.27,1.7,2.28,1.77,2.18,1.68,0.5,1.99,1.91,1.99,1.93,2.03,1.97,1.97,1.9
I1,23/06/2020,20:45,Genoa,Parma,1,4,A,0,2,A,9,11,3,8,15,15,1,3,1,2,0,0,2.15,3.3,3.5,2.2,3.3,3.4,2.2,3.3,3.45,2.24,3.36,3.55,2.15,3.3,3.4,2.25,3.2,3.5,2.29,3.5,3.65,2.21,3.29,3.45,2.1,1.72,2.13,1.79,2.18,1.84,2.07,1.77,-0.25,1.92,1.98,1.92,2,1.97,2.03,1.9,1.98,2.15,3.3,3.5,2.15,3.3,3.5,2.2,3.2,3.45,2.3,3.26,3.52,2.2,3.2,3.4,2.25,3.1,3.6,2.31,3.42,3.65,2.22,3.23,3.46,2.2,1.66,2.31,1.68,2.31,1.77,2.2,1.67,-0.25,1.93,1.97,1.96,1.95,1.96,2.01,1.93,1.95
