Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
SP1,11/06/2020,21:00,Sevilla,Betis,2,0,H,0,0,D,13,12,5,1,13,16,11,2,0,2,0,0,1.8,3.75,4.33,1.83,3.7,4.25,1.9,3.5,4.1,1.87,3.76,4.43,1.8,3.7,4.5,1.83,3.7,4.2,1.92,3.88,4.8,1.85,3.68,4.35,1.9,1.9,1.93,1.97,1.96,2.03,1.87,1.94,-0.75,2.05,1.75,2.15,1.8,2.18,1.83,2.11,1.78,1.9,3.6,4,1.87,3.6,4.2,1.9,3.5,4.1,1.97,3.63,4.11,1.95,3.5,4,1.93,3.7,3.8,2.03,3.75,4.35,1.94,3.58,4,1.9,1.9,1.88,2.02,1.94,2.11,1.84,1.97,-0.5,1.98,1.92,1.97,1.94,2.03,1.97,1.95,1.92
SP1,12/06/2020,18:30,Granada,Getafe,2,1,H,0,1,A,10,6,4,2,17,16,2,3,6,4,0,0,3.1,3,2.45,3.3,2.95,2.45,3.3,2.9,2.45,3.43,2.98,2.52,3.4,2.9,2.45,3.3,3,2.4,3.57,3.05,2.58,3.31,2.94,2.46,3,1.4,3.03,1.43,3.03,1.47,2.82,1.42,0.25,1.83,2.07,1.83,2.11,1.85,2.11,1.81,2.07,3.3,2.9,2.45,3.4,2.85,2.45,3.4,2.9,2.45,3.49,2.94,2.51,3.4,2.88,2.45,3.2,2.88,2.55,3.57,3.03,2.61,3.37,2.89,2.47,3,1.4,3.11,1.42,3.11,1.46,2.84,1.42,0.25,1.83,2.07,1.83,2.1,1.86,2.14,1.82,2.07
SP1,12/06/2020,21:00,Valencia,Levante,1,1,D,0,0,D,12,14,3,4,11,13,0,6,1,4,0,1,1.7,3.8,4.75,1.75,4.1,4.33,1.73,4.05,4.4,1.75,4.19,4.58,1.7,4.2,4.4,1.7,4.1,4.5,1.78,4.4,4.86,1.73,4.08,4.48,1.61,2.3,1.66,2.36,1.7,2.41,1.61,2.31,-0.75,1.93,1.97,1.97,1.94,1.97,2.01,1.93,1.94,1.85,3.75,4.2,1.83,3.75,4.2,1.8,3.8,4.3,1.92,3.76,4.19,1.85,3.6,4.33,1.87,3.8,3.9,1.94,4.05,4.54,1.86,3.77,4.09,1.66,2.2,1.68,2.31,1.74,2.34,1.65,2.24,-0.5,1.91,1.99,1.92,2,1.95,2.08,1.88,2
SP1,13/06/2020,13:00,Espanol,Alaves,2,0,H,1,0,H,19,1,9,0,16,19,2,1,4,3,0,1,2.05,3.2,3.75,2.1,3.2,3.8,2.1,3.15,3.85,2.1,3.3,3.93,2.1,3.2,3.8,2.1,3.13,3.75,2.2,3.38,4.05,2.1,3.2,3.83,2.5,1.53,2.5,1.58,2.63,1.61,2.47,1.54,-0.25,1.82,2.08,1.79,2.13,1.85,2.14,1.8,2.08,1.95,3.1,4.6,2.05,3,4.33,1.87,3.2,4.75,1.91,3.37,4.87,1.91,3.2,4.6,1.9,3.2,4.6,2.05,3.37,5.4,1.92,3.19,4.67,2.75,1.44,2.81,1.49,2.86,1.53,2.69,1.46,-0.5,1.92,2.01,1.91,2.01,2.03,2.03,1.92,1.96
SP1,13/06/2020,16:00,Celta,Villarreal,0,1,A,0,0,D,4,15,0,4,5,20,2,8,1,1,0,0,2.5,3.4,2.7,2.55,3.3,2.8,2.6,3.35,2.75,2.64,3.39,2.78,2.55,3.4,2.75,2.55,3.4,2.7,2.71,3.5,2.88,2.59,3.35,2.75,1.9,1.9,1.99,1.91,2.03,1.96,1.94,1.87,0,1.89,2.01,1.91,2.01,1.95,2.06,1.87,2,2.45,3.3,3,2.4,3.25,3.1,2.45,3.2,2.95,2.5,3.31,3.1,2.45,3.2,3,2.45,3.25,2.9,2.62,3.34,3.21,2.47,3.23,3,2.1,1.72,2.17,1.76,2.22,1.81,2.09,1.74,-0.25,2.02,1.77,2.13,1.81,2.2,1.83,2.12,1.77
SP1,13/06/2020,18:30,Leganes,Valladolid,1,2,A,0,1,A,11,6,2,2,21,20,2,1,2,4,0,0,2.25,3,3.5,2.35,3,3.4,2.3,3,3.55,2.31,3.08,3.63,2.3,3,3.5,2.3,3,3.4,2.43,3.14,3.7,2.31,3.02,3.51,3,1.4,2.92,1.45,3,1.47,2.78,1.43,-0.25,1.98,1.92,1.96,1.96,2.02,1.96,1.96,1.91,2.37,2.9,3.5,2.3,2.95,3.6,2.4,2.75,3.6,2.48,2.87,3.65,2.35,2.88,3.6,2.4,2.8,3.6,2.52,3,3.9,2.4,2.83,3.6,3.5,1.3,3.47,1.35,3.5,1.36,3.28,1.33,-0.25,2.06,1.87,2.06,1.86,2.06,1.97,2.02,1.86
SP1,13/06/2020,21:00,Mallorca,Barcelona,0,4,A,0,2,A,13,12,3,7,16,5,9,3,1,2,0,0,10,5.75,1.28,9.5,6,1.28,9.9,6,1.28,9.96,6.21,1.29,10,6,1.27,10.5,6,1.25,11,6.7,1.32,9.91,6,1.28,1.44,2.75,1.47,2.82,1.48,2.88,1.45,2.72,1.75,1.92,1.98,1.93,1.99,1.97,2.03,1.89,1.97,9,6,1.28,9.25,5.75,1.3,11,6.2,1.25,10.29,5.66,1.32,9.5,5.8,1.3,8.5,5.5,1.33,12,6.2,1.34,9.6,5.71,1.3,1.5,2.62,1.53,2.68,1.53,2.96,1.47,2.66,1.5,1.9,2.03,1.85,2.07,2.1,2.07,1.94,1.94
SP1,14/06/2020,13:00,Ath Bilbao,Ath Madrid,1,1,D,1,1,D,10,9,3,2,10,9,5,7,3,0,0,0,3.75,2.9,2.2,3.75,2.95,2.25,3.7,2.95,2.25,3.81,2.95,2.31,3.75,3,2.25,3.5,3,2.25,4.09,3.12,2.38,3.74,2.96,2.27,2.75,1.44,2.91,1.45,2.91,1.47,2.74,1.44,0.25,1.96,1.94,1.97,1.95,1.99,1.97,1.95,1.92,3.4,2.9,2.37,3.4,2.8,2.5,3.6,2.9,2.3,3.52,2.95,2.49,3.5,2.9,2.38,3.3,3,2.4,3.72,3.02,2.53,3.46,2.88,2.42,3,1.4,3.04,1.43,3.04,1.49,2.83,1.42,0.25,1.85,2.08,1.85,2.08,1.98,2.14,1.84,2.05
SP1,14/06/2020,18:30,Real Madrid,Eibar,3,1,H,3,0,H,6,9,5,5,11,12,3,3,1,1,0,0,1.22,7,11,1.26,6,11,1.25,6.2,11.5,1.24,6.58,12.63,1.22,6.5,13,1.22,6.5,12,1.28,7.09,14.25,1.24,6.41,11.84,1.53,2.5,1.53,2.65,1.55,2.66,1.51,2.53,-1.75,1.92,1.98,1.92,2,1.94,2.01,1.9,1.96,1.2,7,13,1.2,7,13.5,1.25,6.1,11,1.2,7.53,16.01,1.18,7,17,1.17,7,18,1.25,7.7,19.5,1.19,7.08,14.81,1.4,3,1.44,3,1.46,3,1.41,2.85,-2.25,2.1,1.7,2.19,1.76,2.2,1.84,2.15,1.76
SP1,14/06/2020,21:00,Sociedad,Osasuna,1,1,D,0,1,A,9,8,4,1,5,12,1,6,1,3,0,0,1.66,3.9,5,1.65,4,5.25,1.7,3.9,4.95,1.72,3.91,5.09,1.67,3.8,5.25,1.67,3.9,5,1.77,4.05,5.45,1.69,3.89,5.01,1.8,2,1.81,2.1,1.88,2.13,1.78,2.03,-0.75,1.91,1.99,1.93,1.99,1.94,2.02,1.89,1.97,1.66,3.75,5.5,1.67,3.75,5.5,1.65,3.8,5.4,1.67,3.98,5.69,1.63,3.8,5.8,1.65,3.75,5.5,1.71,4,6,1.66,3.81,5.47,2,1.8,2.05,1.85,2.12,1.88,2.03,1.79,-0.75,1.9,2.03,1.86,2.06,1.9,2.12,1.85,2.03
SP1,15/06/2020,18:30,Levante,Sevilla,1,1,D,0,0,D,11,10,5,4,12,10,5,6,1,1,0,0,5,4,1.65,5.25,4,1.65,5,4.1,1.65,5.25,3.97,1.69,5.25,3.9,1.65,5,4,1.65,5.55,4.15,1.72,5.09,3.98,1.67,1.72,2.1,1.78,2.13,1.83,2.19,1.75,2.09,0.75,2.05,1.88,2.04,1.88,2.06,1.91,2.02,1.86,5.5,4.2,1.57,5.5,4,1.62,4.7,4,1.7,5.77,4.11,1.62,5.5,4,1.62,5.5,4,1.6,6.1,4.3,1.7,5.45,4.04,1.62,1.9,1.9,1.88,2.02,1.92,2.11,1.82,1.99,1,1.85,2.08,1.85,2.07,1.89,2.15,1.81,2.07
SP1,15/06/2020,21:00,Betis,Granada,2,2,D,0,1,A,18,8,6,5,13,18,11,2,2,4,0,0,1.9,3.5,4,1.95,3.5,4,2,3.4,3.8,1.94,3.59,4.22,1.95,3.5,4,1.87,3.6,4.1,2.01,3.62,4.45,1.94,3.48,4.11,2,1.8,2.07,1.83,2.14,1.88,2.04,1.79,-0.5,1.94,1.99,1.94,1.98,2,2.02,1.94,1.93,1.83,3.75,4.2,1.83,3.5,4.5,1.9,3.5,4.1,1.9,3.6,4.4,1.83,3.6,4.4,1.75,3.6,4.75,1.92,3.82,5.15,1.84,3.57,4.46,2,1.8,2.1,1.8,2.12,1.9,2.01,1.8,-0.5,1.88,2.05,1.9,2.02,1.91,2.11,1.85,2.03
SP1,16/06/2020,18:30,Getafe,Espanol,0,0,D,0,0,D,21,5,4,3,15,9,5,5,3,2,0,1,1.95,3.1,4.33,1.91,3.25,4.5,2,3.1,4.3,2.03,3.18,4.45,2,3.1,4.33,2,3.13,4.2,2.1,3.25,4.55,2.01,3.14,4.32,2.62,1.5,2.71,1.51,2.76,1.51,2.64,1.47,-0.5,2.04,1.89,2.03,1.88,2.08,1.91,2.02,1.85,2,3,4.5,2,3.1,4.4,2,3,4.45,2.05,3.17,4.49,2,3,4.6,2,3.1,4.4,2.08,3.3,5,2.01,3.07,4.45,3.2,1.36,3.01,1.44,3.05,1.45,2.92,1.4,-0.5,2.07,1.86,2.05,1.87,2.09,1.9,2.01,1.86
SP1,16/06/2020,18:30,Villarreal,Mallorca,1,0,H,1,0,H,10,15,4,5,16,10,2,6,3,4,0,0,1.53,4.5,5.75,1.55,4.4,5.75,1.53,4.4,5.9,1.53,4.54,6.27,1.5,4.33,6.5,1.5,4.5,6,1.57,4.65,6.7,1.52,4.45,6,1.66,2.2,1.7,2.26,1.75,2.32,1.67,2.2,-1,1.91,2.02,1.93,2,1.96,2.03,1.88,1.99,1.4,4.75,7.5,1.4,4.75,8,1.45,4.6,6.8,1.39,5.04,9,1.38,4.8,8.5,1.36,4.8,9,1.46,5.31,9,1.39,4.88,8.16,1.72,2.1,1.73,2.23,1.77,2.3,1.68,2.2,-1.25,1.9,2.03,1.92,2,1.95,2.11,1.87,2
SP1,16/06/2020,21:00,Barcelona,Leganes,2,0,H,1,0,H,10,6,5,2,16,16,3,2,5,3,0,0,1.16,7.5,13,1.15,8.25,16.5,1.17,7.6,16.5,1.15,8.37,18.71,1.14,8,19,1.14,8,18,1.2,9.1,21,1.16,8.06,17.42,1.5,2.62,1.48,2.75,1.51,2.76,1.47,2.64,-2,1.86,2.07,1.85,2.05,1.9,2.1,1.82,2.06,1.16,7,17,1.2,6.75,15,1.2,6.5,15,1.21,6.91,16.99,1.18,7,17,1.22,6.5,13,1.23,7.6,19.62,1.2,6.8,14.81,1.57,2.37,1.6,2.5,1.62,2.53,1.56,2.4,-1.75,2,1.93,1.97,1.94,2.02,2.04,1.92,1.95
SP1,17/06/2020,18:30,Eibar,Ath Bilbao,2,2,D,1,1,D,12,6,6,3,10,11,8,3,3,2,0,0,3.2,3,2.4,3.2,3.1,2.4,3.3,3,2.4,3.4,3.12,2.39,3.3,3,2.4,3.13,3.1,2.38,3.5,3.15,2.54,3.28,3.04,2.41,2.5,1.53,2.55,1.56,2.63,1.61,2.51,1.52,0.25,1.86,2.07,1.88,2.03,1.88,2.09,1.84,2.03,3.1,3,2.45,3.2,2.9,2.55,3.15,2.9,2.55,3.27,2.98,2.62,3.2,3,2.5,3.1,3,2.5,3.35,3.1,2.67,3.17,2.96,2.53,2.75,1.44,2.93,1.46,2.93,1.53,2.7,1.46,0.25,1.78,2.16,1.77,2.19,1.83,2.19,1.77,2.14
SP1,17/06/2020,18:30,Valladolid,Celta,0,0,D,0,0,D,6,11,1,4,18,15,5,8,3,3,0,0,3,3,2.6,3,3,2.6,2.95,2.95,2.7,3,2.98,2.74,2.9,3,2.7,2.88,3,2.63,3.1,3.08,2.81,2.95,2.96,2.68,2.62,1.5,2.82,1.47,2.82,1.51,2.66,1.46,0,2.04,1.89,2.05,1.87,2.09,1.92,2.03,1.85,2.6,2.9,3,2.6,2.8,3.2,2.65,2.85,3.1,2.73,2.86,3.24,2.62,2.8,3.2,2.55,2.9,3.13,2.83,2.99,3.3,2.65,2.86,3.09,3.2,1.36,3.1,1.42,3.1,1.44,2.93,1.39,0,1.78,2.16,1.8,2.14,1.94,2.19,1.8,2.1
